,wav,maggies
185,25163193.11269807,3.5705424911399516e-11
186,25024519.690387193,3.6398710030674684e-11
187,24886610.49215428,3.7086335218533714e-11
188,24749461.306388874,3.777954702731231e-11
189,24613067.944690444,3.847848549660365e-11
190,24477426.241740696,3.9201316883948527e-11
191,24342532.05517614,3.995107241701378e-11
192,24208381.265461788,4.072503877167583e-11
193,24074969.775765195,4.1511238414561324e-11
194,23942293.51183144,4.229323328675667e-11
195,23810348.42185869,4.309776820003901e-11
196,23679130.476374373,4.3926559536348395e-11
197,23548635.668112226,4.476559505454455e-11
198,23418860.01188994,4.5618273344814605e-11
199,23289799.54448728,4.648395983822436e-11
200,23161450.324525286,4.737639970747056e-11
201,23033808.43234569,4.829685681048079e-11
202,22906869.96989141,4.922849479521049e-11
203,22780631.06058732,5.017541683262971e-11
204,22655087.849222023,5.113747231154562e-11
205,22530236.501830056,5.2129920834950964e-11
206,22406073.205574717,5.315133447818155e-11
207,22282594.168631803,5.416086359095138e-11
208,22159795.62007362,5.518736955659312e-11
209,22037673.809754003,5.6255897183418575e-11
210,21916225.00819363,5.735953797761982e-11
211,21795445.50646625,5.849530862863141e-11
212,21675331.616085373,5.961908431969157e-11
213,21555879.66889156,6.076159176445481e-11
214,21437086.01694052,6.19481711403044e-11
215,21318947.032391652,6.315418730625764e-11
216,21201459.107397173,6.437779412930507e-11
217,21084618.653992128,6.561942933355239e-11
218,20968422.103984594,6.689086356574636e-11
219,20852865.908846915,6.821215567165569e-11
220,20737946.539607145,6.955767260929036e-11
221,20623660.486741446,7.092487729984216e-11
222,20510004.260066852,7.230751331190137e-11
223,20396974.38863456,7.371172194869173e-11
224,20284567.42062413,7.513568390823959e-11
225,20172779.92323797,7.660804047386688e-11
226,20061608.482596442,7.812660207582587e-11
227,19951049.70363376,7.962391809131956e-11
228,19841100.209994126,8.114465895486051e-11
229,19731756.64392882,8.272652196340216e-11
230,19623015.666193433,8.436958323274854e-11
231,19514873.9559461,8.60706320119504e-11
232,19407328.210645977,8.773909330352782e-11
233,19300375.145952348,8.943477023596267e-11
234,19194011.495624423,9.1211770439626e-11
235,19088234.01142155,9.302008413619534e-11
236,18983039.46300397,9.485488765539125e-11
237,18878424.637834255,9.671007568424414e-11
238,18774386.341079082,9.861250762380726e-11
239,18670921.395511832,1.0060524825839987e-10
240,18568026.641415354,1.0258998337161477e-10
241,18465698.93648568,1.0456896388969325e-10
242,18363935.155735925,1.0662891573176123e-10
243,18262732.191400856,1.0874322274750332e-10
244,18162086.952842053,1.1089681631022681e-10
245,18061996.366453514,1.1311339141007634e-10
246,17962457.375567727,1.1538927258540616e-10
247,17863466.940362334,1.176292602591118e-10
248,17765022.037767388,1.1990333558968495e-10
249,17667119.66137296,1.2226601782377995e-10
250,17569756.82133729,1.2464290809369448e-10
251,17472930.544295553,1.2702669252165528e-10
252,17376637.873269055,1.2940518901932087e-10
253,17280875.86757483,1.3180622263297692e-10
254,17185641.60273598,1.3422835152832118e-10
255,17090932.170392238,1.3673095830052097e-10
256,16996744.67821125,1.3932048001050324e-10
257,16903076.24980014,1.4191947231285885e-10
258,16809924.024617765,1.4453545516842973e-10
259,16717285.157887341,1.4713864183427726e-10
260,16625156.820509473,1.4978347720583468e-10
261,16533536.198975885,1.5247241190831276e-10
262,16442420.49528344,1.551734701655479e-10
